"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_001MA","B15003_001EA","B15003_002E","B15003_002M","B15003_002MA","B15003_002EA","B15003_003E","B15003_003M","B15003_003MA","B15003_003EA","B15003_004E","B15003_004M","B15003_004MA","B15003_004EA","B15003_005E","B15003_005EA","B15003_005M","B15003_005MA","B15003_006E","B15003_006M","B15003_006MA","B15003_006EA","B15003_007E","B15003_007M","B15003_007MA","B15003_007EA","B15003_008E","B15003_008M","B15003_008MA","B15003_008EA","B15003_009E","B15003_009M","B15003_009MA","B15003_009EA","B15003_010E","B15003_010M","B15003_010MA","B15003_010EA","B15003_011E","B15003_011M","B15003_011MA","B15003_011EA","B15003_012E","B15003_012M","B15003_012MA","B15003_012EA","B15003_013E","B15003_013EA","B15003_013M","B15003_013MA","B15003_014E","B15003_014M","B15003_014MA","B15003_014EA","B15003_015E","B15003_015M","B15003_015MA","B15003_015EA","B15003_016E","B15003_016M","B15003_016MA","B15003_016EA","B15003_017E","B15003_017M","B15003_017MA","B15003_017EA","B15003_018E","B15003_018M","B15003_018MA","B15003_018EA","B15003_019E","B15003_019M","B15003_019MA","B15003_019EA","B15003_020E","B15003_020M","B15003_020MA","B15003_020EA","B15003_021E","B15003_021M","B15003_021MA","B15003_021EA","B15003_022E","B15003_022M","B15003_022MA","B15003_022EA","B15003_023E","B15003_023M","B15003_023MA","B15003_023EA","B15003_024E","B15003_024M","B15003_024MA","B15003_024EA","B15003_025E","B15003_025EA","B15003_025M","B15003_025MA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Annotation of Margin of Error!!Total:!!No schooling completed","Annotation of Estimate!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Annotation of Margin of Error!!Total:!!Nursery school","Annotation of Estimate!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Annotation of Margin of Error!!Total:!!Kindergarten","Annotation of Estimate!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Annotation of Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Annotation of Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Annotation of Margin of Error!!Total:!!2nd grade","Annotation of Estimate!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Annotation of Margin of Error!!Total:!!3rd grade","Annotation of Estimate!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Annotation of Margin of Error!!Total:!!4th grade","Annotation of Estimate!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Annotation of Margin of Error!!Total:!!5th grade","Annotation of Estimate!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Annotation of Margin of Error!!Total:!!6th grade","Annotation of Estimate!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Annotation of Margin of Error!!Total:!!7th grade","Annotation of Estimate!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Annotation of Margin of Error!!Total:!!8th grade","Annotation of Estimate!!Total:!!8th grade","Estimate!!Total:!!9th grade","Annotation of Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Annotation of Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Annotation of Margin of Error!!Total:!!10th grade","Annotation of Estimate!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Annotation of Margin of Error!!Total:!!11th grade","Annotation of Estimate!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Annotation of Margin of Error!!Total:!!12th grade, no diploma","Annotation of Estimate!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Annotation of Margin of Error!!Total:!!Regular high school diploma","Annotation of Estimate!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Annotation of Margin of Error!!Total:!!GED or alternative credential","Annotation of Estimate!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Annotation of Margin of Error!!Total:!!Some college, less than 1 year","Annotation of Estimate!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Annotation of Margin of Error!!Total:!!Some college, 1 or more years, no degree","Annotation of Estimate!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Annotation of Margin of Error!!Total:!!Associate's degree","Annotation of Estimate!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Annotation of Margin of Error!!Total:!!Bachelor's degree","Annotation of Estimate!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Annotation of Margin of Error!!Total:!!Master's degree","Annotation of Estimate!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Annotation of Margin of Error!!Total:!!Professional school degree","Annotation of Estimate!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Annotation of Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree","Annotation of Margin of Error!!Total:!!Doctorate degree",
"1500000US516500101031","Block Group 1, Census Tract 101.03, Hampton city, Virginia","859","242","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","28","37","null","null","201","133","null","null","49","58","null","null","73","67","null","null","61","56","null","null","106","94","null","null","182","106","null","null","80","69","null","null","0","13","null","null","79","null","105","null",
"1500000US516500101032","Block Group 2, Census Tract 101.03, Hampton city, Virginia","1107","267","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","120","106","null","null","0","13","null","null","133","87","null","null","389","175","null","null","84","46","null","null","180","82","null","null","201","102","null","null","0","13","null","null","0","null","13","null",
"1500000US516500101033","Block Group 3, Census Tract 101.03, Hampton city, Virginia","853","299","null","null","0","13","null","null","18","29","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","13","null","null","43","57","null","null","0","13","null","null","213","167","null","null","0","13","null","null","33","51","null","null","124","83","null","null","76","89","null","null","221","106","null","null","125","126","null","null","0","13","null","null","0","null","13","null",
"1500000US516500101034","Block Group 4, Census Tract 101.03, Hampton city, Virginia","861","193","null","null","19","30","null","null","0","13","null","null","1","2","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","14","25","null","null","0","13","null","null","0","13","null","null","0","null","13","null","32","51","null","null","0","13","null","null","14","21","null","null","144","77","null","null","29","32","null","null","29","31","null","null","148","92","null","null","98","74","null","null","259","133","null","null","56","43","null","null","0","13","null","null","18","null","27","null",
"1500000US516500101035","Block Group 5, Census Tract 101.03, Hampton city, Virginia","713","175","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","9","16","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","13","null","null","12","19","null","null","0","13","null","null","88","77","null","null","49","44","null","null","52","44","null","null","120","83","null","null","72","54","null","null","212","139","null","null","90","65","null","null","9","16","null","null","0","null","13","null",
"1500000US516500101036","Block Group 6, Census Tract 101.03, Hampton city, Virginia","499","159","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","14","23","null","null","0","13","null","null","36","36","null","null","121","113","null","null","0","13","null","null","39","46","null","null","94","70","null","null","34","39","null","null","109","89","null","null","52","54","null","null","0","13","null","null","0","null","13","null",
"1500000US516500101041","Block Group 1, Census Tract 101.04, Hampton city, Virginia","828","291","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","11","19","null","null","202","173","null","null","0","13","null","null","14","24","null","null","192","145","null","null","70","69","null","null","195","195","null","null","110","92","null","null","27","41","null","null","7","null","16","null",
"1500000US516500101042","Block Group 2, Census Tract 101.04, Hampton city, Virginia","1734","682","null","null","26","42","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","74","null","77","null","192","173","null","null","0","13","null","null","0","13","null","null","779","396","null","null","55","53","null","null","253","179","null","null","112","96","null","null","236","190","null","null","7","12","null","null","0","13","null","null","0","13","null","null","0","null","13","null",
"1500000US516500101043","Block Group 3, Census Tract 101.04, Hampton city, Virginia","392","230","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","27","44","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","13","null","null","22","35","null","null","26","42","null","null","125","107","null","null","0","13","null","null","0","13","null","null","58","69","null","null","64","64","null","null","56","60","null","null","14","23","null","null","0","13","null","null","0","null","13","null",
