"GEO_ID","NAME","B23025_001E","B23025_001M","B23025_001MA","B23025_001EA","B23025_002E","B23025_002EA","B23025_002M","B23025_002MA","B23025_003E","B23025_003M","B23025_003MA","B23025_003EA","B23025_004E","B23025_004M","B23025_004MA","B23025_004EA","B23025_005E","B23025_005M","B23025_005MA","B23025_005EA","B23025_006E","B23025_006EA","B23025_006M","B23025_006MA","B23025_007E","B23025_007M","B23025_007MA","B23025_007EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!In labor force:","Annotation of Estimate!!Total:!!In labor force:","Margin of Error!!Total:!!In labor force:","Annotation of Margin of Error!!Total:!!In labor force:","Estimate!!Total:!!In labor force:!!Civilian labor force:","Margin of Error!!Total:!!In labor force:!!Civilian labor force:","Annotation of Margin of Error!!Total:!!In labor force:!!Civilian labor force:","Annotation of Estimate!!Total:!!In labor force:!!Civilian labor force:","Estimate!!Total:!!In labor force:!!Civilian labor force:!!Employed","Margin of Error!!Total:!!In labor force:!!Civilian labor force:!!Employed","Annotation of Margin of Error!!Total:!!In labor force:!!Civilian labor force:!!Employed","Annotation of Estimate!!Total:!!In labor force:!!Civilian labor force:!!Employed","Estimate!!Total:!!In labor force:!!Civilian labor force:!!Unemployed","Margin of Error!!Total:!!In labor force:!!Civilian labor force:!!Unemployed","Annotation of Margin of Error!!Total:!!In labor force:!!Civilian labor force:!!Unemployed","Annotation of Estimate!!Total:!!In labor force:!!Civilian labor force:!!Unemployed","Estimate!!Total:!!In labor force:!!Armed Forces","Annotation of Estimate!!Total:!!In labor force:!!Armed Forces","Margin of Error!!Total:!!In labor force:!!Armed Forces","Annotation of Margin of Error!!Total:!!In labor force:!!Armed Forces","Estimate!!Total:!!Not in labor force","Margin of Error!!Total:!!Not in labor force","Annotation of Margin of Error!!Total:!!Not in labor force","Annotation of Estimate!!Total:!!Not in labor force",
"1500000US516500101031","Block Group 1, Census Tract 101.03, Hampton city, Virginia","886","243","null","null","530","null","233","null","513","231","null","null","513","231","null","null","0","13","null","null","17","null","27","null","356","139","null","null",
"1500000US516500101032","Block Group 2, Census Tract 101.03, Hampton city, Virginia","1293","308","null","null","849","null","269","null","790","276","null","null","725","244","null","null","65","74","null","null","59","null","45","null","444","153","null","null",
"1500000US516500101033","Block Group 3, Census Tract 101.03, Hampton city, Virginia","961","349","null","null","561","null","244","null","561","244","null","null","539","245","null","null","22","35","null","null","0","null","13","null","400","156","null","null",
"1500000US516500101034","Block Group 4, Census Tract 101.03, Hampton city, Virginia","946","204","null","null","518","null","163","null","473","162","null","null","462","161","null","null","11","20","null","null","45","null","62","null","428","157","null","null",
"1500000US516500101035","Block Group 5, Census Tract 101.03, Hampton city, Virginia","792","198","null","null","499","null","171","null","462","161","null","null","462","161","null","null","0","13","null","null","37","null","43","null","293","104","null","null",
"1500000US516500101036","Block Group 6, Census Tract 101.03, Hampton city, Virginia","651","209","null","null","376","null","166","null","335","139","null","null","335","139","null","null","0","13","null","null","41","null","63","null","275","114","null","null",
"1500000US516500101041","Block Group 1, Census Tract 101.04, Hampton city, Virginia","880","322","null","null","515","null","255","null","399","203","null","null","399","203","null","null","0","13","null","null","116","null","103","null","365","232","null","null",
"1500000US516500101042","Block Group 2, Census Tract 101.04, Hampton city, Virginia","2193","936","null","null","1342","null","514","null","1342","514","null","null","1342","514","null","null","0","13","null","null","0","null","13","null","851","724","null","null",
"1500000US516500101043","Block Group 3, Census Tract 101.04, Hampton city, Virginia","460","259","null","null","179","null","158","null","179","158","null","null","179","158","null","null","0","13","null","null","0","null","13","null","281","181","null","null",
