"GEO_ID","NAME","B19058_001E","B19058_001EA","B19058_001M","B19058_001MA","B19058_002E","B19058_002EA","B19058_002M","B19058_002MA","B19058_003E","B19058_003M","B19058_003MA","B19058_003EA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!With cash public assistance or Food Stamps/SNAP","Annotation of Estimate!!Total:!!With cash public assistance or Food Stamps/SNAP","Margin of Error!!Total:!!With cash public assistance or Food Stamps/SNAP","Annotation of Margin of Error!!Total:!!With cash public assistance or Food Stamps/SNAP","Estimate!!Total:!!No cash public assistance or Food Stamps/SNAP","Margin of Error!!Total:!!No cash public assistance or Food Stamps/SNAP","Annotation of Margin of Error!!Total:!!No cash public assistance or Food Stamps/SNAP","Annotation of Estimate!!Total:!!No cash public assistance or Food Stamps/SNAP",
"1500000US516500101031","Block Group 1, Census Tract 101.03, Hampton city, Virginia","526","null","160","null","57","null","73","null","469","153","null","null",
"1500000US516500101032","Block Group 2, Census Tract 101.03, Hampton city, Virginia","537","null","120","null","0","null","13","null","537","120","null","null",
"1500000US516500101033","Block Group 3, Census Tract 101.03, Hampton city, Virginia","405","null","132","null","35","null","44","null","370","145","null","null",
"1500000US516500101034","Block Group 4, Census Tract 101.03, Hampton city, Virginia","481","null","96","null","0","null","13","null","481","96","null","null",
"1500000US516500101035","Block Group 5, Census Tract 101.03, Hampton city, Virginia","387","null","89","null","36","null","40","null","351","100","null","null",
"1500000US516500101036","Block Group 6, Census Tract 101.03, Hampton city, Virginia","275","null","93","null","0","null","13","null","275","93","null","null",
"1500000US516500101041","Block Group 1, Census Tract 101.04, Hampton city, Virginia","539","null","209","null","0","null","13","null","539","209","null","null",
"1500000US516500101042","Block Group 2, Census Tract 101.04, Hampton city, Virginia","558","null","196","null","136","null","118","null","422","195","null","null",
"1500000US516500101043","Block Group 3, Census Tract 101.04, Hampton city, Virginia","164","null","92","null","0","null","13","null","164","92","null","null",
