"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B01001_001E","Estimate!!Total:"
"B01001_001EA","Annotation of Estimate!!Total:"
"B01001_001M","Margin of Error!!Total:"
"B01001_001MA","Annotation of Margin of Error!!Total:"
"B01001_002E","Estimate!!Total:!!Male:"
"B01001_002M","Margin of Error!!Total:!!Male:"
"B01001_002MA","Annotation of Margin of Error!!Total:!!Male:"
"B01001_002EA","Annotation of Estimate!!Total:!!Male:"
"B01001_003E","Estimate!!Total:!!Male:!!Under 5 years"
"B01001_003EA","Annotation of Estimate!!Total:!!Male:!!Under 5 years"
"B01001_003M","Margin of Error!!Total:!!Male:!!Under 5 years"
"B01001_003MA","Annotation of Margin of Error!!Total:!!Male:!!Under 5 years"
"B01001_004E","Estimate!!Total:!!Male:!!5 to 9 years"
"B01001_004M","Margin of Error!!Total:!!Male:!!5 to 9 years"
"B01001_004MA","Annotation of Margin of Error!!Total:!!Male:!!5 to 9 years"
"B01001_004EA","Annotation of Estimate!!Total:!!Male:!!5 to 9 years"
"B01001_005E","Estimate!!Total:!!Male:!!10 to 14 years"
"B01001_005M","Margin of Error!!Total:!!Male:!!10 to 14 years"
"B01001_005MA","Annotation of Margin of Error!!Total:!!Male:!!10 to 14 years"
"B01001_005EA","Annotation of Estimate!!Total:!!Male:!!10 to 14 years"
"B01001_006E","Estimate!!Total:!!Male:!!15 to 17 years"
"B01001_006M","Margin of Error!!Total:!!Male:!!15 to 17 years"
"B01001_006MA","Annotation of Margin of Error!!Total:!!Male:!!15 to 17 years"
"B01001_006EA","Annotation of Estimate!!Total:!!Male:!!15 to 17 years"
"B01001_007E","Estimate!!Total:!!Male:!!18 and 19 years"
"B01001_007EA","Annotation of Estimate!!Total:!!Male:!!18 and 19 years"
"B01001_007M","Margin of Error!!Total:!!Male:!!18 and 19 years"
"B01001_007MA","Annotation of Margin of Error!!Total:!!Male:!!18 and 19 years"
"B01001_008E","Estimate!!Total:!!Male:!!20 years"
"B01001_008M","Margin of Error!!Total:!!Male:!!20 years"
"B01001_008MA","Annotation of Margin of Error!!Total:!!Male:!!20 years"
"B01001_008EA","Annotation of Estimate!!Total:!!Male:!!20 years"
"B01001_009E","Estimate!!Total:!!Male:!!21 years"
"B01001_009EA","Annotation of Estimate!!Total:!!Male:!!21 years"
"B01001_009M","Margin of Error!!Total:!!Male:!!21 years"
"B01001_009MA","Annotation of Margin of Error!!Total:!!Male:!!21 years"
"B01001_010E","Estimate!!Total:!!Male:!!22 to 24 years"
"B01001_010M","Margin of Error!!Total:!!Male:!!22 to 24 years"
"B01001_010MA","Annotation of Margin of Error!!Total:!!Male:!!22 to 24 years"
"B01001_010EA","Annotation of Estimate!!Total:!!Male:!!22 to 24 years"
"B01001_011E","Estimate!!Total:!!Male:!!25 to 29 years"
"B01001_011M","Margin of Error!!Total:!!Male:!!25 to 29 years"
"B01001_011MA","Annotation of Margin of Error!!Total:!!Male:!!25 to 29 years"
"B01001_011EA","Annotation of Estimate!!Total:!!Male:!!25 to 29 years"
"B01001_012E","Estimate!!Total:!!Male:!!30 to 34 years"
"B01001_012EA","Annotation of Estimate!!Total:!!Male:!!30 to 34 years"
"B01001_012M","Margin of Error!!Total:!!Male:!!30 to 34 years"
"B01001_012MA","Annotation of Margin of Error!!Total:!!Male:!!30 to 34 years"
"B01001_013E","Estimate!!Total:!!Male:!!35 to 39 years"
"B01001_013EA","Annotation of Estimate!!Total:!!Male:!!35 to 39 years"
"B01001_013M","Margin of Error!!Total:!!Male:!!35 to 39 years"
"B01001_013MA","Annotation of Margin of Error!!Total:!!Male:!!35 to 39 years"
"B01001_014E","Estimate!!Total:!!Male:!!40 to 44 years"
"B01001_014EA","Annotation of Estimate!!Total:!!Male:!!40 to 44 years"
"B01001_014M","Margin of Error!!Total:!!Male:!!40 to 44 years"
"B01001_014MA","Annotation of Margin of Error!!Total:!!Male:!!40 to 44 years"
"B01001_015E","Estimate!!Total:!!Male:!!45 to 49 years"
"B01001_015EA","Annotation of Estimate!!Total:!!Male:!!45 to 49 years"
"B01001_015M","Margin of Error!!Total:!!Male:!!45 to 49 years"
"B01001_015MA","Annotation of Margin of Error!!Total:!!Male:!!45 to 49 years"
