"GEO_ID","NAME","B01001_001E","B01001_001EA","B01001_001M","B01001_001MA","B01001_002E","B01001_002M","B01001_002MA","B01001_002EA","B01001_003E","B01001_003EA","B01001_003M","B01001_003MA","B01001_004E","B01001_004M","B01001_004MA","B01001_004EA","B01001_005E","B01001_005M","B01001_005MA","B01001_005EA","B01001_006E","B01001_006M","B01001_006MA","B01001_006EA","B01001_007E","B01001_007EA","B01001_007M","B01001_007MA","B01001_008E","B01001_008M","B01001_008MA","B01001_008EA","B01001_009E","B01001_009EA","B01001_009M","B01001_009MA","B01001_010E","B01001_010M","B01001_010MA","B01001_010EA","B01001_011E","B01001_011M","B01001_011MA","B01001_011EA","B01001_012E","B01001_012EA","B01001_012M","B01001_012MA","B01001_013E","B01001_013EA","B01001_013M","B01001_013MA","B01001_014E","B01001_014EA","B01001_014M","B01001_014MA","B01001_015E","B01001_015EA","B01001_015M","B01001_015MA","B01001_016E","B01001_016M","B01001_016MA","B01001_016EA","B01001_017E","B01001_017M","B01001_017MA","B01001_017EA","B01001_018E","B01001_018M","B01001_018MA","B01001_018EA","B01001_019E","B01001_019EA","B01001_019M","B01001_019MA","B01001_020E","B01001_020M","B01001_020MA","B01001_020EA","B01001_021E","B01001_021EA","B01001_021M","B01001_021MA","B01001_022E","B01001_022M","B01001_022MA","B01001_022EA","B01001_023E","B01001_023EA","B01001_023M","B01001_023MA","B01001_024E","B01001_024EA","B01001_024M","B01001_024MA","B01001_025E","B01001_025M","B01001_025MA","B01001_025EA","B01001_026E","B01001_026EA","B01001_026M","B01001_026MA","B01001_027E","B01001_027EA","B01001_027M","B01001_027MA","B01001_028E","B01001_028EA","B01001_028M","B01001_028MA","B01001_029E","B01001_029M","B01001_029MA","B01001_029EA","B01001_030E","B01001_030EA","B01001_030M","B01001_030MA","B01001_031E","B01001_031EA","B01001_031M","B01001_031MA","B01001_032E","B01001_032M","B01001_032MA","B01001_032EA","B01001_033E","B01001_033EA","B01001_033M","B01001_033MA","B01001_034E","B01001_034M","B01001_034MA","B01001_034EA","B01001_035E","B01001_035EA","B01001_035M","B01001_035MA","B01001_036E","B01001_036EA","B01001_036M","B01001_036MA","B01001_037E","B01001_037EA","B01001_037M","B01001_037MA","B01001_038E","B01001_038EA","B01001_038M","B01001_038MA","B01001_039E","B01001_039EA","B01001_039M","B01001_039MA","B01001_040E","B01001_040EA","B01001_040M","B01001_040MA","B01001_041E","B01001_041M","B01001_041MA","B01001_041EA","B01001_042E","B01001_042EA","B01001_042M","B01001_042MA","B01001_043E","B01001_043M","B01001_043MA","B01001_043EA","B01001_044E","B01001_044EA","B01001_044M","B01001_044MA","B01001_045E","B01001_045M","B01001_045MA","B01001_045EA","B01001_046E","B01001_046M","B01001_046MA","B01001_046EA","B01001_047E","B01001_047M","B01001_047MA","B01001_047EA","B01001_048E","B01001_048EA","B01001_048M","B01001_048MA","B01001_049E","B01001_049M","B01001_049MA","B01001_049EA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Annotation of Margin of Error!!Total:!!Male:","Annotation of Estimate!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Annotation of Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Annotation of Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Annotation of Margin of Error!!Total:!!Male:!!5 to 9 years","Annotation of Estimate!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Annotation of Margin of Error!!Total:!!Male:!!10 to 14 years","Annotation of Estimate!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Annotation of Margin of Error!!Total:!!Male:!!15 to 17 years","Annotation of Estimate!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Annotation of Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Annotation of Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 years","Margin of Error!!Total:!!Male:!!20 years","Annotation of Margin of Error!!Total:!!Male:!!20 years","Annotation of Estimate!!Total:!!Male:!!20 years","Estimate!!Total:!!Male:!!21 years","Annotation of Estimate!!Total:!!Male:!!21 years","Margin of Error!!Total:!!Male:!!21 years","Annotation of Margin of Error!!Total:!!Male:!!21 years","Estimate!!Total:!!Male:!!22 to 24 years","Margin of Error!!Total:!!Male:!!22 to 24 years","Annotation of Margin of Error!!Total:!!Male:!!22 to 24 years","Annotation of Estimate!!Total:!!Male:!!22 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Annotation of Margin of Error!!Total:!!Male:!!25 to 29 years","Annotation of Estimate!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Annotation of Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Annotation of Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Annotation of Estimate!!Total:!!Male:!!35 to 39 years","Margin of Error!!Total:!!Male:!!35 to 39 years","Annotation of Margin of Error!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Annotation of Estimate!!Total:!!Male:!!40 to 44 years","Margin of Error!!Total:!!Male:!!40 to 44 years","Annotation of Margin of Error!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Annotation of Estimate!!Total:!!Male:!!45 to 49 years","Margin of Error!!Total:!!Male:!!45 to 49 years","Annotation of Margin of Error!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Margin of Error!!Total:!!Male:!!50 to 54 years","Annotation of Margin of Error!!Total:!!Male:!!50 to 54 years","Annotation of Estimate!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Margin of Error!!Total:!!Male:!!55 to 59 years","Annotation of Margin of Error!!Total:!!Male:!!55 to 59 years","Annotation of Estimate!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 and 61 years","Margin of Error!!Total:!!Male:!!60 and 61 years","Annotation of Margin of Error!!Total:!!Male:!!60 and 61 years","Annotation of Estimate!!Total:!!Male:!!60 and 61 years","Estimate!!Total:!!Male:!!62 to 64 years","Annotation of Estimate!!Total:!!Male:!!62 to 64 years","Margin of Error!!Total:!!Male:!!62 to 64 years","Annotation of Margin of Error!!Total:!!Male:!!62 to 64 years","Estimate!!Total:!!Male:!!65 and 66 years","Margin of Error!!Total:!!Male:!!65 and 66 years","Annotation of Margin of Error!!Total:!!Male:!!65 and 66 years","Annotation of Estimate!!Total:!!Male:!!65 and 66 years","Estimate!!Total:!!Male:!!67 to 69 years","Annotation of Estimate!!Total:!!Male:!!67 to 69 years","Margin of Error!!Total:!!Male:!!67 to 69 years","Annotation of Margin of Error!!Total:!!Male:!!67 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Margin of Error!!Total:!!Male:!!70 to 74 years","Annotation of Margin of Error!!Total:!!Male:!!70 to 74 years","Annotation of Estimate!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Annotation of Estimate!!Total:!!Male:!!75 to 79 years","Margin of Error!!Total:!!Male:!!75 to 79 years","Annotation of Margin of Error!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Annotation of Estimate!!Total:!!Male:!!80 to 84 years","Margin of Error!!Total:!!Male:!!80 to 84 years","Annotation of Margin of Error!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Annotation of Margin of Error!!Total:!!Male:!!85 years and over","Annotation of Estimate!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Annotation of Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Annotation of Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Annotation of Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Annotation of Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Annotation of Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Annotation of Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Annotation of Margin of Error!!Total:!!Female:!!10 to 14 years","Annotation of Estimate!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Annotation of Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Annotation of Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Annotation of Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Annotation of Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 years","Margin of Error!!Total:!!Female:!!20 years","Annotation of Margin of Error!!Total:!!Female:!!20 years","Annotation of Estimate!!Total:!!Female:!!20 years","Estimate!!Total:!!Female:!!21 years","Annotation of Estimate!!Total:!!Female:!!21 years","Margin of Error!!Total:!!Female:!!21 years","Annotation of Margin of Error!!Total:!!Female:!!21 years","Estimate!!Total:!!Female:!!22 to 24 years","Margin of Error!!Total:!!Female:!!22 to 24 years","Annotation of Margin of Error!!Total:!!Female:!!22 to 24 years","Annotation of Estimate!!Total:!!Female:!!22 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Annotation of Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Annotation of Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Annotation of Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Annotation of Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Annotation of Estimate!!Total:!!Female:!!35 to 39 years","Margin of Error!!Total:!!Female:!!35 to 39 years","Annotation of Margin of Error!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Annotation of Estimate!!Total:!!Female:!!40 to 44 years","Margin of Error!!Total:!!Female:!!40 to 44 years","Annotation of Margin of Error!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Annotation of Estimate!!Total:!!Female:!!45 to 49 years","Margin of Error!!Total:!!Female:!!45 to 49 years","Annotation of Margin of Error!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Annotation of Estimate!!Total:!!Female:!!50 to 54 years","Margin of Error!!Total:!!Female:!!50 to 54 years","Annotation of Margin of Error!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Margin of Error!!Total:!!Female:!!55 to 59 years","Annotation of Margin of Error!!Total:!!Female:!!55 to 59 years","Annotation of Estimate!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 and 61 years","Annotation of Estimate!!Total:!!Female:!!60 and 61 years","Margin of Error!!Total:!!Female:!!60 and 61 years","Annotation of Margin of Error!!Total:!!Female:!!60 and 61 years","Estimate!!Total:!!Female:!!62 to 64 years","Margin of Error!!Total:!!Female:!!62 to 64 years","Annotation of Margin of Error!!Total:!!Female:!!62 to 64 years","Annotation of Estimate!!Total:!!Female:!!62 to 64 years","Estimate!!Total:!!Female:!!65 and 66 years","Annotation of Estimate!!Total:!!Female:!!65 and 66 years","Margin of Error!!Total:!!Female:!!65 and 66 years","Annotation of Margin of Error!!Total:!!Female:!!65 and 66 years","Estimate!!Total:!!Female:!!67 to 69 years","Margin of Error!!Total:!!Female:!!67 to 69 years","Annotation of Margin of Error!!Total:!!Female:!!67 to 69 years","Annotation of Estimate!!Total:!!Female:!!67 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Margin of Error!!Total:!!Female:!!70 to 74 years","Annotation of Margin of Error!!Total:!!Female:!!70 to 74 years","Annotation of Estimate!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Margin of Error!!Total:!!Female:!!75 to 79 years","Annotation of Margin of Error!!Total:!!Female:!!75 to 79 years","Annotation of Estimate!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Annotation of Estimate!!Total:!!Female:!!80 to 84 years","Margin of Error!!Total:!!Female:!!80 to 84 years","Annotation of Margin of Error!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over","Annotation of Margin of Error!!Total:!!Female:!!85 years and over","Annotation of Estimate!!Total:!!Female:!!85 years and over",
"1500000US516500101031","Block Group 1, Census Tract 101.03, Hampton city, Virginia","1013","null","292","null","521","198","null","null","43","null","66","null","14","21","null","null","29","44","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","79","null","105","null","36","null","30","null","22","null","34","null","0","null","13","null","59","59","null","null","41","63","null","null","31","37","null","null","8","null","16","null","71","75","null","null","29","null","43","null","0","13","null","null","18","null","28","null","0","null","13","null","41","44","null","null","492","null","174","null","0","null","13","null","0","null","13","null","15","26","null","null","26","null","30","null","0","null","13","null","0","13","null","null","0","null","13","null","27","32","null","null","35","null","42","null","60","null","60","null","13","null","20","null","19","null","30","null","72","null","83","null","36","null","33","null","81","60","null","null","0","null","13","null","35","37","null","null","24","null","37","null","0","13","null","null","20","26","null","null","15","24","null","null","0","null","13","null","14","22","null","null",
"1500000US516500101032","Block Group 2, Census Tract 101.03, Hampton city, Virginia","1815","null","483","null","965","305","null","null","97","null","78","null","42","59","null","null","150","89","null","null","72","82","null","null","12","null","22","null","15","26","null","null","0","null","13","null","57","69","null","null","81","77","null","null","13","null","22","null","65","null","74","null","24","null","34","null","110","null","77","null","0","13","null","null","73","50","null","null","40","39","null","null","0","null","13","null","18","29","null","null","31","null","37","null","33","37","null","null","32","null","38","null","0","null","13","null","0","13","null","null","850","null","213","null","34","null","50","null","0","null","13","null","109","83","null","null","46","null","49","null","11","null","18","null","0","13","null","null","14","null","25","null","49","69","null","null","0","null","13","null","0","null","13","null","106","null","69","null","54","null","67","null","60","null","64","null","83","null","61","null","104","76","null","null","0","null","13","null","19","29","null","null","0","null","13","null","9","14","null","null","79","78","null","null","59","57","null","null","14","null","22","null","0","13","null","null",
"1500000US516500101033","Block Group 3, Census Tract 101.03, Hampton city, Virginia","1182","null","401","null","553","210","null","null","0","null","13","null","0","13","null","null","14","26","null","null","149","113","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","35","56","null","null","21","null","31","null","0","null","13","null","69","null","77","null","58","null","67","null","14","24","null","null","67","89","null","null","59","65","null","null","9","null","16","null","0","13","null","null","0","null","13","null","40","35","null","null","0","null","13","null","18","null","29","null","0","13","null","null","629","null","208","null","37","null","56","null","0","null","13","null","17","28","null","null","112","null","93","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","30","null","47","null","21","null","31","null","0","null","13","null","111","null","101","null","28","null","37","null","41","null","43","null","98","78","null","null","0","null","13","null","53","79","null","null","0","null","13","null","20","31","null","null","61","48","null","null","0","13","null","null","0","null","13","null","0","13","null","null",
"1500000US516500101034","Block Group 4, Census Tract 101.03, Hampton city, Virginia","1144","null","330","null","654","214","null","null","108","null","124","null","0","13","null","null","0","13","null","null","35","38","null","null","0","null","13","null","0","13","null","null","0","null","13","null","27","30","null","null","113","83","null","null","19","null","29","null","38","null","42","null","19","null","29","null","57","null","49","null","0","13","null","null","55","34","null","null","13","20","null","null","32","null","37","null","1","3","null","null","73","null","67","null","42","39","null","null","22","null","34","null","0","null","13","null","0","13","null","null","490","null","155","null","0","null","13","null","21","null","32","null","50","43","null","null","29","null","32","null","0","null","13","null","0","13","null","null","0","null","13","null","13","21","null","null","36","null","41","null","0","null","13","null","31","null","36","null","23","null","30","null","0","null","13","null","48","null","36","null","37","34","null","null","0","null","13","null","30","36","null","null","16","null","25","null","73","68","null","null","18","27","null","null","31","36","null","null","14","null","22","null","20","34","null","null",
"1500000US516500101035","Block Group 5, Census Tract 101.03, Hampton city, Virginia","1078","null","292","null","578","193","null","null","25","null","40","null","110","85","null","null","0","13","null","null","69","65","null","null","24","null","30","null","20","35","null","null","0","null","13","null","0","13","null","null","42","50","null","null","60","null","51","null","95","null","83","null","15","null","27","null","10","null","17","null","31","31","null","null","21","25","null","null","0","13","null","null","0","null","13","null","24","28","null","null","0","null","13","null","15","25","null","null","0","null","13","null","0","null","13","null","17","30","null","null","500","null","137","null","36","null","41","null","19","null","33","null","43","45","null","null","8","null","17","null","0","null","13","null","0","13","null","null","0","null","13","null","11","20","null","null","21","null","30","null","61","null","54","null","28","null","46","null","74","null","65","null","20","null","33","null","38","null","39","null","37","57","null","null","21","null","32","null","13","22","null","null","16","null","26","null","15","23","null","null","0","13","null","null","14","24","null","null","25","null","29","null","0","13","null","null",
"1500000US516500101036","Block Group 6, Census Tract 101.03, Hampton city, Virginia","651","null","209","null","296","144","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","27","null","37","null","35","54","null","null","0","null","13","null","41","63","null","null","16","26","null","null","0","null","13","null","0","null","13","null","0","null","13","null","27","null","41","null","12","20","null","null","43","42","null","null","23","36","null","null","35","null","53","null","0","13","null","null","0","null","13","null","11","18","null","null","6","null","11","null","0","null","13","null","20","33","null","null","355","null","117","null","0","null","13","null","0","null","13","null","0","13","null","null","15","null","23","null","0","null","13","null","17","29","null","null","0","null","13","null","17","28","null","null","0","null","13","null","30","null","45","null","0","null","13","null","0","null","13","null","13","null","22","null","19","null","22","null","57","53","null","null","36","null","54","null","42","44","null","null","16","null","26","null","47","75","null","null","1","3","null","null","20","32","null","null","25","null","45","null","0","13","null","null",
"1500000US516500101041","Block Group 1, Census Tract 101.04, Hampton city, Virginia","1150","null","415","null","655","292","null","null","148","null","139","null","66","94","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","null","13","null","52","76","null","null","79","71","null","null","0","null","13","null","7","null","16","null","0","null","13","null","0","null","13","null","37","43","null","null","123","185","null","null","0","13","null","null","65","null","73","null","5","15","null","null","36","null","43","null","0","13","null","null","14","null","24","null","0","null","13","null","23","40","null","null","495","null","216","null","56","null","99","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","110","null","118","null","21","null","28","null","73","null","81","null","24","null","31","null","20","null","37","null","0","null","13","null","34","54","null","null","0","null","13","null","22","36","null","null","32","null","38","null","27","41","null","null","47","42","null","null","11","19","null","null","18","null","29","null","0","13","null","null",
"1500000US516500101042","Block Group 2, Census Tract 101.04, Hampton city, Virginia","2587","null","1018","null","1359","734","null","null","0","null","13","null","51","51","null","null","34","48","null","null","0","13","null","null","0","null","13","null","68","94","null","null","201","null","235","null","79","107","null","null","173","213","null","null","144","null","158","null","76","null","60","null","12","null","31","null","218","null","150","null","31","39","null","null","162","146","null","null","17","28","null","null","0","null","13","null","0","13","null","null","0","null","13","null","8","18","null","null","85","null","109","null","0","null","13","null","0","13","null","null","1228","null","472","null","19","null","37","null","0","null","13","null","290","229","null","null","8","null","16","null","15","null","27","null","0","13","null","null","80","null","93","null","8","39","null","null","144","null","139","null","53","null","63","null","138","null","128","null","0","null","13","null","104","null","126","null","111","null","96","null","214","208","null","null","0","null","13","null","0","13","null","null","0","null","13","null","8","20","null","null","0","13","null","null","11","19","null","null","0","null","13","null","25","39","null","null",
"1500000US516500101043","Block Group 3, Census Tract 101.04, Hampton city, Virginia","489","null","266","null","173","133","null","null","0","null","13","null","0","13","null","null","0","13","null","null","33","50","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","28","47","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","22","35","null","null","26","42","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","null","13","null","20","31","null","null","44","null","62","null","0","null","13","null","0","13","null","null","316","null","162","null","0","null","13","null","29","null","43","null","0","13","null","null","0","null","13","null","35","null","52","null","0","13","null","null","0","null","13","null","0","13","null","null","31","null","47","null","0","null","13","null","52","null","86","null","0","null","13","null","0","null","13","null","20","null","33","null","25","40","null","null","0","null","13","null","39","58","null","null","0","null","13","null","20","32","null","null","65","64","null","null","0","13","null","null","0","null","13","null","0","13","null","null",
